﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
07AA001,1,1,1914,01,,,,,,,,,,,21.0,,53.5,,17.2,,7.82,,15.0,,5.32,,1.98,B
07AA001,1,1,1914,02,,,,,,,,,,,39.4,,52.4,,16.8,,7.59,,13.1,,5.18,,1.84,B
07AA001,1,1,1914,03,,,,,,,,,,,63.1,,53.0,,16.3,,7.50,,11.8,,4.93,,1.70,B
07AA001,1,1,1914,04,,,,,,,,,,,60.9,,54.1,,15.3,,6.97,,9.91,,4.79,,1.59,B
07AA001,1,1,1914,05,,,,,,,,,,,53.2,,53.8,,14.6,,6.71,,9.43,,4.67,,1.56,B
07AA001,1,1,1914,06,,,,,,,,,,,43.9,,48.1,,14.2,,6.60,,9.15,,4.56,,1.61,B
07AA001,1,1,1914,07,,,,,,,,,,,42.2,,41.3,,13.5,,6.48,,8.69,,4.42,,1.64,B
07AA001,1,1,1914,08,,,,,,,,,,,37.7,,38.5,,12.7,,6.63,,8.38,,4.22,,1.56,B
07AA001,1,1,1914,09,,,,,,,,,,,33.1,,39.9,,11.2,,6.99,,8.30,,4.33,,1.13,B
07AA001,1,1,1914,10,,,,,,,,,,,31.1,,40.5,,11.0,,6.88,,8.07,,4.25,,0.991,B
07AA001,1,1,1914,11,,,,,,,,,,,31.4,,41.6,,10.3,,6.71,,6.88,,3.96,B,0.934,B
07AA001,1,1,1914,12,,,,,,,,,,,34.8,,41.9,,9.77,,6.71,,7.02,,3.68,B,0.906,B
07AA001,1,1,1914,13,,,,,,,,,,,45.3,,39.6,,10.1,,6.46,,6.80,,3.40,B,0.934,B
07AA001,1,1,1914,14,,,,,,,,,,,57.5,,38.8,,10.4,,6.31,,6.46,,3.23,B,0.934,B
07AA001,1,1,1914,15,,,,,,,,,,,59.5,,37.9,,10.7,,6.17,,6.31,,2.89,B,0.991,B
07AA001,1,1,1914,16,,,,,,,,,,,62.3,,34.3,,11.2,,6.09,,6.23,,2.58,B,0.934,B
07AA001,1,1,1914,17,,,,,,,,,,,67.4,,31.1,,11.2,,5.89,,6.17,,2.75,B,0.991,B
07AA001,1,1,1914,18,,,,,,,,,,,66.5,,26.2,,11.0,,7.31,,6.14,,2.78,B,1.13,B
07AA001,1,1,1914,19,,,,,,,,,,,59.7,,21.1,,10.8,,8.64,,5.80,,2.83,B,0.991,B
07AA001,1,1,1914,20,,,,,,,,,,,45.3,,22.7,,10.7,,8.44,,5.18,,2.92,B,0.850,B
07AA001,1,1,1914,21,,,,,,,,,,,37.9,,30.0,,11.0,,8.47,,4.47,,2.89,B,0.991,B
07AA001,1,1,1914,22,,,,,,,,,,,30.6,,24.1,,11.4,,8.41,,3.77,,2.69,B,0.850,B
07AA001,1,1,1914,23,,,,,,,,,27.3,,29.7,,23.4,,10.0,,8.92,,3.82,,2.58,B,0.765,B
07AA001,1,1,1914,24,,,,,,,,,25.9,,26.4,,19.5,,8.86,,8.64,,4.08,,2.66,B,0.680,B
07AA001,1,1,1914,25,,,,,,,,,22.2,,27.9,,22.4,,8.72,,9.34,,3.79,,2.72,B,0.651,B
07AA001,1,1,1914,26,,,,,,,,,22.4,,32.3,,21.3,,8.44,,11.6,,3.91,,2.78,B,0.510,B
07AA001,1,1,1914,27,,,,,,,,,17.1,,37.4,,22.3,,8.86,,18.6,,3.62,,2.55,B,0.680,B
07AA001,1,1,1914,28,,,,,,,,,13.5,,39.6,,24.0,,8.35,,18.1,,3.34,,2.32,B,0.850,B
07AA001,1,1,1914,29,,,,,,,,,11.2,,42.2,,21.0,,8.21,,17.8,,3.54,,2.21,B,0.991,B
07AA001,1,1,1914,30,,,,,,,,,10.1,,49.8,,19.8,,8.10,,18.2,,4.11,,2.12,B,0.991,B
07AA001,1,1,1914,31,,,,,,,,,15.2,,,,18.8,,7.93,,,,4.45,,,,1.13,B
07AA001,1,1,1915,01,1.27,B,0.651,B,0.566,B,2.18,,8.52,,23.8,,37.9,,16.2,,11.2,,4.19,,4.93,,1.64,B
07AA001,1,1,1915,02,1.25,B,0.736,B,0.425,B,2.24,,8.04,,24.6,,34.8,,18.4,,8.52,,4.08,,4.47,,1.44,B
07AA001,1,1,1915,03,1.22,B,0.821,B,0.510,B,2.49,,8.27,,19.9,,30.9,,19.6,,8.04,,4.47,,3.79,B,1.59,B
07AA001,1,1,1915,04,1.25,B,0.595,B,0.566,B,2.86,,11.8,,20.3,,26.6,,18.8,,8.04,,4.93,,3.26,B,1.61,B
07AA001,1,1,1915,05,1.16,B,0.708,B,0.453,B,3.34,,13.7,,21.5,,26.6,,16.2,,8.04,,4.73,,3.65,B,1.42,B
07AA001,1,1,1915,06,1.22,B,0.680,B,0.595,B,3.11,,19.6,,20.7,,28.3,,15.5,,7.82,,4.19,,3.26,B,1.19,B
07AA001,1,1,1915,07,1.25,B,0.651,B,0.651,B,2.89,,23.1,,18.1,,26.6,,15.5,,7.14,,4.08,,3.40,B,1.05,B
07AA001,1,1,1915,08,1.22,B,0.566,B,0.708,B,2.83,,27.5,,18.1,,23.4,,15.1,,6.71,,4.19,,3.62,B,0.991,B
07AA001,1,1,1915,09,1.19,B,0.680,B,0.765,B,2.69,,30.0,,22.3,,21.9,,13.7,,6.71,,4.19,,3.71,B,1.30,B
07AA001,1,1,1915,10,1.08,B,0.765,B,0.793,B,2.58,,32.8,,19.6,,22.3,,13.7,,6.31,,3.82,,3.43,B,1.30,B
07AA001,1,1,1915,11,0.934,B,0.850,B,0.850,B,2.66,,29.4,,17.3,,25.8,,13.7,,5.61,,3.68,,3.17,B,1.16,B
07AA001,1,1,1915,12,0.850,B,0.878,B,0.821,B,2.69,,28.6,,17.7,,25.4,,13.7,,5.44,,3.68,,3.23,B,1.19,B
07AA001,1,1,1915,13,0.963,B,0.793,B,0.765,B,3.34,,18.8,,19.9,,22.7,,13.1,,4.93,,3.68,,2.89,B,1.33,B
07AA001,1,1,1915,14,0.991,B,0.708,B,0.736,B,3.45,,15.5,,22.3,,22.7,,13.1,,4.93,,3.68,,3.00,B,1.39,B
07AA001,1,1,1915,15,0.736,B,0.708,B,0.708,B,3.45,,13.1,,23.4,,24.2,,13.1,,5.10,,3.57,,2.61,B,1.30,B
07AA001,1,1,1915,16,0.425,B,0.793,B,0.850,B,3.51,,10.6,,29.2,,25.8,,13.1,,5.10,,3.57,,2.49,B,1.36,B
07AA001,1,1,1915,17,0.538,B,0.878,B,0.566,B,4.76,,11.2,,32.3,,30.3,,28.3,,5.10,,3.68,,2.35,B,1.30,B
07AA001,1,1,1915,18,0.680,B,0.821,B,0.708,B,4.93,,11.5,,27.1,,25.8,,13.7,,5.10,,3.68,,2.18,B,1.33,B
07AA001,1,1,1915,19,0.736,B,0.736,B,0.283,B,5.44,,18.1,,23.1,,26.6,,15.1,,5.95,,4.19,,2.27,B,1.36,B
07AA001,1,1,1915,20,0.595,B,0.538,B,0.283,B,5.61,,24.2,,23.4,,22.7,,14.4,,5.44,,4.76,,2.35,B,1.36,B
07AA001,1,1,1915,21,0.481,B,0.453,B,0.227,B,5.44,,30.9,,22.7,,22.3,,13.7,,4.93,,4.33,,2.12,B,1.30,B
07AA001,1,1,1915,22,0.850,B,0.396,B,0.566,B,4.62,,28.3,,21.9,,24.6,,13.7,,4.93,,4.08,,2.27,B,1.25,B
07AA001,1,1,1915,23,0.850,B,0.481,B,0.481,B,4.19,,26.2,,25.0,,22.3,,13.1,,4.76,,4.62,,2.29,B,1.13,B
07AA001,1,1,1915,24,0.906,B,0.595,B,0.680,B,4.76,,25.0,,24.2,,19.6,,12.5,,4.76,,5.10,,2.12,B,1.10,B
07AA001,1,1,1915,25,0.736,B,0.680,B,1.19,B,4.93,,21.1,,27.5,,18.8,,12.5,,4.62,,4.76,,2.10,B,1.05,B
07AA001,1,1,1915,26,0.538,B,0.623,B,1.81,B,5.44,,19.6,,85.0,,18.1,,11.8,,4.62,,4.62,,2.12,B,1.05,B
07AA001,1,1,1915,27,0.538,B,0.680,B,1.76,B,5.38,,18.8,,69.4,,17.7,,10.1,,4.19,,4.76,,1.95,B,1.10,B
07AA001,1,1,1915,28,0.680,B,0.736,B,1.70,B,4.76,,18.1,,52.7,,17.3,,11.2,,4.08,,4.93,,1.70,B,1.19,B
07AA001,1,1,1915,29,0.850,B,,,2.04,,5.10,,19.6,,41.1,,15.9,,10.9,,4.08,,5.44,,1.64,B,1.08,B
07AA001,1,1,1915,30,0.481,B,,,2.15,,9.29,,17.3,,39.1,,16.2,,11.2,,3.96,,5.44,,1.87,B,0.991,B
07AA001,1,1,1915,31,0.680,B,,,2.15,,,,16.6,,,,16.2,,11.8,,,,5.61,,,,1.10,B
07AA001,1,1,1916,01,1.08,B,0.283,B,0.906,B,1.13,B,8.16,,12.7,,55.2,,25.3,,18.9,,4.90,,4.87,,2.44,
07AA001,1,1,1916,02,0.991,B,0.340,B,0.651,B,1.22,B,9.06,,13.6,,43.6,,27.6,,22.1,,4.62,,4.98,,2.35,
07AA001,1,1,1916,03,0.850,B,0.425,B,0.510,B,1.27,B,10.0,,13.0,,50.7,,37.9,,19.3,,4.47,,4.98,,2.27,
07AA001,1,1,1916,04,0.566,B,0.481,B,0.623,B,1.42,B,13.4,,25.1,,52.1,,26.6,,20.9,,4.53,,4.87,,2.18,
07AA001,1,1,1916,05,0.850,B,0.566,B,0.765,B,2.35,B,14.6,,21.4,,43.6,,25.4,,22.1,,4.62,,4.87,,2.10,
07AA001,1,1,1916,06,0.708,B,0.623,B,0.765,B,3.31,B,16.5,,19.2,,34.8,,22.6,,15.5,,4.90,,4.98,,1.98,
07AA001,1,1,1916,07,0.708,B,0.595,B,0.708,B,3.00,B,17.2,,17.2,,33.1,,24.2,,13.3,,4.67,,4.90,,1.81,
07AA001,1,1,1916,08,0.793,B,0.510,B,0.765,B,2.83,B,11.0,,18.2,,33.4,,25.1,,11.8,,4.62,,4.73,,1.64,
07AA001,1,1,1916,09,0.708,B,0.453,B,0.850,B,2.78,B,10.0,,19.2,,37.4,,24.7,,12.2,,4.62,,4.73,,1.53,
07AA001,1,1,1916,10,0.651,B,0.425,B,0.963,B,2.44,B,8.83,,17.6,,57.5,,24.4,,11.1,,4.53,,3.54,,1.47,
07AA001,1,1,1916,11,0.680,B,0.453,B,1.02,B,2.44,B,8.16,,15.6,,56.9,,24.4,,10.1,,4.90,,2.38,,1.47,
07AA001,1,1,1916,12,0.680,B,0.510,B,1.08,B,2.46,B,8.10,,19.7,,58.0,,23.3,,9.74,,5.24,,2.41,,1.47,
07AA001,1,1,1916,13,0.651,B,0.595,B,1.10,B,2.61,B,6.99,,22.5,,70.5,,23.2,,7.25,,5.58,,2.49,,1.50,
07AA001,1,1,1916,14,0.623,B,0.651,B,1.08,B,2.72,B,6.82,,33.1,,41.9,,24.5,,6.00,,7.25,,2.58,,1.53,
07AA001,1,1,1916,15,0.566,B,0.708,B,1.05,B,2.92,B,6.63,,35.1,,21.6,,27.0,,6.97,,10.1,,2.66,,1.56,
07AA001,1,1,1916,16,0.566,B,0.765,B,1.02,B,4.45,,6.12,,65.1,,36.0,,30.0,,6.97,,18.2,,2.69,,1.56,
07AA001,1,1,1916,17,0.510,B,0.821,B,1.02,B,4.50,,6.29,,70.5,,42.2,,24.7,,20.6,,28.6,,2.78,,1.59,
07AA001,1,1,1916,18,0.481,B,0.934,B,1.02,B,4.42,,8.07,,75.0,,39.4,,18.4,,20.6,,25.2,,2.89,,1.56,
07AA001,1,1,1916,19,0.453,B,0.991,B,0.991,B,4.36,,12.9,,79.6,,51.8,,11.6,,20.1,,12.1,,2.94,,1.56,
07AA001,1,1,1916,20,0.425,B,1.05,B,0.991,B,4.30,,13.2,,88.6,,45.9,,10.4,,20.1,,11.4,,3.03,,1.56,
07AA001,1,1,1916,21,0.425,B,1.13,B,0.991,B,4.28,,13.2,,82.1,,42.5,,8.44,,10.1,,10.0,,3.03,,1.53,
07AA001,1,1,1916,22,0.425,B,1.10,B,0.991,B,4.25,,10.9,,68.2,,35.7,,9.80,,15.5,,7.48,,2.92,,1.47,
07AA001,1,1,1916,23,0.425,B,1.08,B,1.02,B,4.13,,11.1,,66.0,,29.4,,13.7,,5.61,,6.91,,2.46,,1.36,
07AA001,1,1,1916,24,0.425,B,1.08,B,1.05,B,4.22,,11.4,,62.0,,26.6,,14.5,,5.80,,6.63,,2.46,,1.25,
07AA001,1,1,1916,25,0.425,B,1.10,B,1.08,B,4.19,,12.2,,61.4,,29.4,,12.8,,5.95,,6.48,,2.52,,1.02,
07AA001,1,1,1916,26,0.311,B,1.13,B,1.08,B,4.90,,12.5,,58.9,,33.4,,12.8,,5.95,,5.97,,2.55,,0.850,
07AA001,1,1,1916,27,0.283,B,1.10,B,1.08,B,7.19,,17.8,,66.0,,28.9,,13.2,,5.61,,5.38,,2.58,,0.793,
07AA001,1,1,1916,28,0.142,B,1.05,B,1.08,B,6.97,,16.2,,62.0,,26.7,,13.2,,5.44,,4.96,,2.58,,0.765,
07AA001,1,1,1916,29,0.113,B,0.991,B,0.991,B,6.51,,14.9,,61.4,,27.7,,13.3,,4.90,,4.96,,2.55,,0.793,
07AA001,1,1,1916,30,0.142,B,,,1.08,B,6.17,,14.4,,57.8,,24.8,,14.8,,5.07,,4.87,,2.49,,0.850,
07AA001,1,1,1916,31,0.170,B,,,1.08,B,,,13.9,,,,23.9,,15.5,,,,4.90,,,,0.906,
